epoch,batch,loss,accuracy,batch_size
0,0,2.311760663986206,0.06,50
0,1,2.293724298477173,0.18,50
0,2,2.2966034412384033,0.16,50
0,3,2.3038382530212402,0.14,50
0,4,2.2829673290252686,0.18,50
0,5,2.324172258377075,0.04,50
0,6,2.310372829437256,0.08,50
0,7,2.3111414909362793,0.12,50
0,8,2.2970175743103027,0.14,50
0,9,2.292997121810913,0.24,50
0,10,2.2700278759002686,0.28,50
0,11,2.292212724685669,0.24,50
0,12,2.304382562637329,0.1,50
0,13,2.283888816833496,0.18,50
0,14,2.2973828315734863,0.1,50
0,15,2.254742383956909,0.2,50
0,16,2.2496464252471924,0.12,50
0,17,2.2760965824127197,0.14,50
0,18,2.2137985229492188,0.18,50
0,19,2.289729356765747,0.04,50
0,20,2.1858675479888916,0.26,50
0,21,2.1774001121520996,0.21739130434782608,46
1,0,2.188391923904419,0.2,50
1,1,2.170231819152832,0.16,50
1,2,2.082556962966919,0.28,50
1,3,2.1342642307281494,0.16,50
1,4,2.0821187496185303,0.22,50
1,5,2.1069085597991943,0.16,50
1,6,2.062028408050537,0.28,50
1,7,2.2669150829315186,0.08,50
1,8,2.1358819007873535,0.1,50
1,9,2.0609920024871826,0.18,50
1,10,2.046696662902832,0.22,50
1,11,1.9293385744094849,0.18,50
1,12,2.04958438873291,0.2,50
1,13,2.026799440383911,0.3,50
1,14,2.055272340774536,0.24,50
1,15,1.9941420555114746,0.32,50
1,16,2.088225841522217,0.2,50
1,17,1.9773280620574951,0.26,50
1,18,1.9482052326202393,0.3,50
1,19,1.8830679655075073,0.34,50
1,20,1.8967621326446533,0.36,50
1,21,2.072141408920288,0.21739130434782608,46
2,0,1.8580149412155151,0.28,50
2,1,1.8744311332702637,0.28,50
2,2,1.8584104776382446,0.36,50
2,3,1.882083535194397,0.3,50
2,4,1.7944172620773315,0.32,50
2,5,1.804075002670288,0.32,50
2,6,1.677376389503479,0.34,50
2,7,1.723962426185608,0.34,50
2,8,1.806004524230957,0.34,50
2,9,1.6025525331497192,0.48,50
2,10,1.6721824407577515,0.48,50
2,11,1.6325445175170898,0.52,50
2,12,1.85039484500885,0.3,50
2,13,1.6918636560440063,0.34,50
2,14,1.6664628982543945,0.4,50
2,15,1.538525104522705,0.42,50
2,16,1.7391515970230103,0.34,50
2,17,1.4016894102096558,0.54,50
2,18,1.7619905471801758,0.4,50
2,19,1.965091347694397,0.26,50
2,20,1.6946303844451904,0.42,50
2,21,1.4897595643997192,0.41304347826086957,46
3,0,1.5799328088760376,0.42,50
3,1,1.6234948635101318,0.52,50
3,2,1.4362205266952515,0.54,50
3,3,1.5218722820281982,0.5,50
3,4,1.7099016904830933,0.4,50
3,5,1.7490566968917847,0.3,50
3,6,1.611264705657959,0.44,50
3,7,1.6742275953292847,0.34,50
3,8,1.3663914203643799,0.48,50
3,9,1.4816950559616089,0.58,50
3,10,1.6452597379684448,0.44,50
3,11,1.5342379808425903,0.44,50
3,12,1.4647951126098633,0.4,50
3,13,1.6921768188476562,0.4,50
3,14,1.6618561744689941,0.42,50
3,15,1.457098364830017,0.44,50
3,16,1.79756760597229,0.4,50
3,17,1.6374526023864746,0.38,50
3,18,1.3936233520507812,0.46,50
3,19,1.3087631464004517,0.56,50
3,20,1.4996064901351929,0.4,50
3,21,1.5550940036773682,0.391304347826087,46
4,0,1.5345948934555054,0.36,50
4,1,1.5492759943008423,0.44,50
4,2,1.4071661233901978,0.58,50
4,3,1.5529208183288574,0.52,50
4,4,1.6829719543457031,0.38,50
4,5,1.5386565923690796,0.42,50
4,6,1.6445614099502563,0.44,50
4,7,1.4322962760925293,0.46,50
4,8,1.401686668395996,0.46,50
4,9,1.4139131307601929,0.42,50
4,10,1.3901185989379883,0.52,50
4,11,1.3915390968322754,0.5,50
4,12,1.3659967184066772,0.54,50
4,13,1.4961737394332886,0.5,50
4,14,1.162751317024231,0.52,50
4,15,1.4083524942398071,0.44,50
4,16,1.4190821647644043,0.44,50
4,17,1.5259498357772827,0.46,50
4,18,1.3334050178527832,0.46,50
4,19,1.526904582977295,0.5,50
4,20,1.194840669631958,0.64,50
4,21,1.2592880725860596,0.6739130434782609,46
5,0,1.3086928129196167,0.46,50
5,1,1.4777849912643433,0.5,50
5,2,1.3047603368759155,0.6,50
5,3,1.2842854261398315,0.58,50
5,4,1.4584659337997437,0.4,50
5,5,1.4168270826339722,0.44,50
5,6,1.4553828239440918,0.54,50
5,7,1.2356890439987183,0.48,50
5,8,1.37003493309021,0.48,50
5,9,1.0998643636703491,0.6,50
5,10,1.1798250675201416,0.56,50
5,11,1.2103886604309082,0.6,50
5,12,1.358717679977417,0.54,50
5,13,1.5121415853500366,0.52,50
5,14,1.3514195680618286,0.48,50
5,15,1.4093353748321533,0.48,50
5,16,1.253611445426941,0.52,50
5,17,1.4542831182479858,0.38,50
5,18,1.4072707891464233,0.52,50
5,19,1.36570405960083,0.5,50
5,20,1.2761473655700684,0.54,50
5,21,1.0878071784973145,0.5652173913043478,46
6,0,1.4547613859176636,0.5,50
6,1,1.0988966226577759,0.64,50
6,2,1.1892683506011963,0.48,50
6,3,1.2297576665878296,0.52,50
6,4,1.2990936040878296,0.48,50
6,5,1.2125188112258911,0.54,50
6,6,1.232982873916626,0.58,50
6,7,0.9645034670829773,0.64,50
6,8,1.2167046070098877,0.62,50
6,9,1.1683732271194458,0.56,50
6,10,0.929918110370636,0.7,50
6,11,1.4450286626815796,0.48,50
6,12,0.9776372313499451,0.58,50
6,13,1.362208604812622,0.46,50
6,14,0.9156317114830017,0.7,50
6,15,1.367507815361023,0.58,50
6,16,1.1580699682235718,0.62,50
6,17,0.9348880052566528,0.64,50
6,18,1.3669257164001465,0.5,50
6,19,1.2779940366744995,0.54,50
6,20,1.0882304906845093,0.62,50
6,21,1.032009482383728,0.6086956521739131,46
7,0,1.1631190776824951,0.58,50
7,1,0.9911847114562988,0.64,50
7,2,0.9391820430755615,0.72,50
7,3,1.005010962486267,0.62,50
7,4,0.9529934525489807,0.68,50
7,5,1.263088583946228,0.56,50
7,6,1.3414106369018555,0.54,50
7,7,1.2099896669387817,0.68,50
7,8,1.2709335088729858,0.54,50
7,9,0.9701085686683655,0.66,50
7,10,0.8303670287132263,0.8,50
7,11,1.043616533279419,0.6,50
7,12,1.1772847175598145,0.58,50
7,13,0.9741137623786926,0.64,50
7,14,1.0893466472625732,0.7,50
7,15,0.9785956740379333,0.68,50
7,16,0.9254768490791321,0.64,50
7,17,1.0496712923049927,0.64,50
7,18,1.1386709213256836,0.58,50
7,19,1.5981667041778564,0.48,50
7,20,0.9307268261909485,0.66,50
7,21,1.152660846710205,0.6086956521739131,46
8,0,0.7833940982818604,0.7,50
8,1,1.145936131477356,0.58,50
8,2,1.006316065788269,0.62,50
8,3,1.0953872203826904,0.64,50
8,4,0.8623132109642029,0.76,50
8,5,1.1325674057006836,0.6,50
8,6,1.0003069639205933,0.58,50
8,7,0.8596885800361633,0.74,50
8,8,1.1280854940414429,0.68,50
8,9,1.1055957078933716,0.64,50
8,10,0.7345727682113647,0.82,50
8,11,0.820476233959198,0.74,50
8,12,0.897887647151947,0.72,50
8,13,1.1245181560516357,0.52,50
8,14,1.081716775894165,0.62,50
8,15,1.0450949668884277,0.62,50
8,16,1.147232174873352,0.6,50
8,17,0.9604233503341675,0.7,50
8,18,1.4357542991638184,0.5,50
8,19,0.9561038017272949,0.6,50
8,20,1.0045453310012817,0.66,50
8,21,0.8119564652442932,0.717391304347826,46
9,0,1.0435497760772705,0.62,50
9,1,0.7849678993225098,0.76,50
9,2,0.8589515686035156,0.66,50
9,3,1.2421795129776,0.56,50
9,4,0.6777802109718323,0.74,50
9,5,0.9348657131195068,0.62,50
9,6,0.8108046650886536,0.72,50
9,7,1.0185892581939697,0.62,50
9,8,0.7755314707756042,0.76,50
9,9,0.9381660223007202,0.62,50
9,10,0.7478744387626648,0.74,50
9,11,1.0222831964492798,0.68,50
9,12,0.9057342410087585,0.66,50
9,13,0.9793331027030945,0.72,50
9,14,0.8468870520591736,0.76,50
